word,definition,length
Aa,"(Particle). 1. introductory exclamation like English
Oh or Well.
2. miki-a ‘to say “ah”’.
3. grammatical functor marking attribution.",2
abaka,"(N.) the abaca plant, fiber, or cloth.",5
abak,"(V.) mayabak, mayayabak, meyabak; to do
something until morning; become morning.
(N.) morning.",4
abala,"(V.) bother, worry. [usually distributive:
mangabala’, as in: e ka mangabala. ‘Don’t worry’].",5
abe,"(V.) makiyabe ‘accompany’; mi-abeyabe ‘live
together, stay together’,
(N.) friend, companion [used as a term of
address], kayabe ‘companion’; pa:makiya’be ‘the
skill of making and keeping friends’.",3
abisu,"(V.) -an: ‘to warn someone’; ma-‘to be warned’;
payabi’su ‘have someone warned’; i-‘take
something as a warning’.
(N.) warning; subpoena; ma:nabi’su ‘one who
warns’.",5
ablas,"(V.) -an ‘to return something’; imitate. maki- -an ‘to
answer back, retort’, mablas, minablas,
paki-qablas, payablasan, inablas, ayablas,
makayablas, meyablas, pamanablas, pekaqablas.
(N.) what one gives in return for something else.
echo; revenge. kakablas ‘echo’.",5
abo,(N.) left-over food.,3
abono,"(V.) man- ‘to fertilize’; pa-‘have something
fertilized’; maki-, paki-‘share fertilizer’.",5
abril,"(N.) the month of April.
1",5
absang,"(V.) in–an, mi–an ‘be swarmed on by tiny insects
called absang’,
(N.) gnat, fruitfly (?)–a very small insect.",6
absiq,"(V.) magpaka-‘eat one’s fill’. See qabsiq.
(D.) satisfied (with respect to hunger).",5
abu,"(V.) man-‘become ash’; mi–an ‘get ashes on self’;
-an [abwan] ‘scour (using ash)’.
(N.) ashes.",3
abukadu,(N.) avocado (a fruit).,7
abugadu,"(V.) pag–an ‘submit something to lawyers’.
magqabugadu, see qabugadu.
(N.) lawyer.",7
abulud,"(V.) -an [abuluran] ‘to de-rib (to remove the center
rib from a leaf)’, ‘to put a crease in’.",6
abusadu,"(V.) man-, pa-‘abuse, take unfair advantage’.
(D.) ma-.
(N.) one who takes unfair advantage; ka- -an,
kapana-.",7
abut,"(V.) ‘reach’, ‘hand something to someone’.
‘understand’: E ku pa ayabutan. ‘I can’t grasp the
meaning yet’.",4
abyas,"(N.) milled rice. maga:qabyas ‘rice dealer’
[bigasera–from Tagalog, is also used].",5
akasya,"(N.) acacia, a kind of tree.",6
akbak,"(V.) -an ‘to put something on a spit’; pa- ‘to have
something spitted’.
(D.) ma-‘to be spitted’.
(N.) a spit, made of bamboo, for barbecuing.",5
akbung,"(N.) explosion.
pa:pakbu’ng ‘a toy gun or bamboo piston device
used to make fruit seeds shoot out–like a pop-gun;
or a nail-and-tube device for exploding caps’.
2",6
akit,"(V.) see c.f., -kit. ikit.
(N.) pan-akit-an ‘earnings’.",4
aklat,"(N.) book (more commonly, libru). aklatan ‘library’.",5
akmul,"(V.) -an ‘swallow something’; in-‘be swallowed’.
(N.) akmulan ‘throat’.",5
aksayaq,(D.) extravagant.,7
aksidenti,"(V.) manga-[distributive] have an accident.
(D.) mayaksidenti ‘be hurt in an accident’.
(N.) accident.",9
aku,(Substitute: personal pronoun) ‘I’.,3
aku,"c.f., nga:ku ‘I said…’.",3
adjar,"(V.) -an ‘to grate, scrape’.
(N.) adjaran-ungut ‘coconut-grating stool’; see
kudkuran.
pipagadjaran ‘place for scraping’.",5
adiq,"(V.) mang- ‘pray’ (intransitive). pa:ng- ‘pray for
something’; maki-‘pray together’; pakipang- ‘pray
together for…’.",4
admirul,(D.) starched.,7
adwaq,"(V.) pangaladwan ‘do something a second time’.
(Nu.) two.
kakadwaq ‘second’; pangalawaq ‘the second one
(e.g. child)’.",5
agad,"(Q.) straightaway, immediately.",4
agkat,"(V.) summon, invite, signal. man-, -an, pa-, pan-.
(D.) may-‘be invited’.
(N.) pa:managkat ‘manner of inviting’.",5
aginaldu,(N.) Christmas gift; see qaginaldu.,8
agosto,(N.) the month of August.,6
agyang,"(Q.) even, in spite of.",6
agtal,"(V.) harvest, gather.
ma:magtal, agtala’n, papayagtal, manayagtal.
(N.) pa:nagtal ‘the harvest’; pi:panagtala’n ‘place
of harvest’.",5
aksayaq,(D.) extravagant.,7
aksidenti,"(N.) accident.
(V.) manga-[distributive] ‘have an accident’.
(D.) mayaksidenti ‘be hurt in an accident’.",9
agum,"(V.) associate. maki-a’gum ‘join a group’,
(N.) a:gu’man ‘an association’. kagum ‘associate, a
concomitant’.",4
agus,"(N.) current.
(V.) mamagus, minagus ‘flow’. papa-agus-an ‘cause
to flow’.",4
agwasinada,(N.) a medicinal liquid used to clean wounds.,10
agyap,"(N.) cold sore.
(V.) [stative] miyagyapan ‘have cold sore’; [stat.
distributive] manga-agyap-an.",5
agyuq,"(D.) sufficient.
(V.) ma:nagyuq, pa:nagyuq, ma:ka-agyuq.",5
aus,"(V.) call.
ma:maus; awsan ‘to call someone’.",3
alak,"(N.) liquor.
4",4
alakdan,(N.) scorpion.,7
aladin,(N.) a kind of fuel-burning lamp.,6
alal,"(N.) ala’lan ‘election’, pa:manala’l ‘manner of
electing’; pipagalalan ‘polling place’.
(V.) man-. mangayalal ‘elect repeatedly’;
papa-yalal ‘get someone elected’; ke:ala’l ‘cause
election’.
(D.) mayalal ‘be elected’.",4
alalay,"(N.) ala’le ‘care’.
alalayan ‘a prop, support’.
(V.) alalayan ‘support, maintain something’;
magkala:kalale ‘beware of’.
(D.) malale ‘careful (e.g. speech)’.",6
alambre,"(N.) wire. ala’mbring suksukan ‘barbed wire’.
(D.) mayalambre ‘be caught on a wire’.",7
alas,"1. in combination with numbers, as alas singko
‘five o’clock’.
2. bungang ala’s ‘heat-rash’.
3. ala’s ‘ace (in card-playing)’.",4
alat,"(D.) ma:lat, maalat ‘salty’, dayat-malat ‘ocean’.",4
alatadu,see qalataq/qalatadu.,7
albe,"(V.) man-albe ‘watch’.
albe-n ‘watch something’; ayalbe.",4
